,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Power v Temperature (Watts),,,,,,,,,,,,,,,,,,,,,
Cooler Power v Temperature (Watts),,,,
Group,PT,PT,PT,PT
Temp,PT16_st,PT16_hp,PT30_st,PT30_hp
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
6,0,0,0,0
8,0,0,0,0
10,0,0,0,0
12,0,0,0,0
14,0,0,0,0
16,0,0,0,0
18,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,0,0,0,0
60,0,0,0,0
70,0,0,0,0
80,0,0,0,0
93,0,0,0,0
116,24,24,0,0
123,14,23,16,16
133,13,21,30,25
153,13,18,25,32
173,12,18,22,28
233,9,15,13,15
293,9,15,15,15
300,9,15,15,15
240,9,15,15,15
260,9,15,15,15
280,9,15,15,15
300,9,15,15,15
