Bradley and Radebaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specific Heat Capacity (in J kg-1 K-1),,,,,,,,,,,,,,,,,,,,,
Group,Metals,Metals,Marvel,Grease,Metals,Marvel,Fibres,Metals,Marvel,Metals,Metals,Metals,Metals,Metals,Metals,Metals,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Metals,Metals,Metals,Metals,Plastics,
Temp,Al_3003,Al_5083,Al_6061,Apiezon-N-Grease,Be,Cu(OFHC),G-10,Indium,Invar(Fe-36Ni),Pb-Normal,Pb-Superconducting,Fe-2.25Ni,Fe-3.5Ni,Fe-5.0Ni,Fe-9.0Ni,Platinum,Polyamide(Nylon),Polyimide(Kapton),PolyStyrene(99.96 kg m-3),PolyStyrene(9.93kg m-3),PolyStyrene(6.07 kg m-3),Polyurethane(49.02 kg m-3),Polyurethane(389.25 kg m-3),PVC,SS-304,SS-304L,SS-310,SS-316,Teflon
1,,,,0.024,,,,,,2.57,,,,,,0.02435,,,,,,,,,,,,,
2,,,,0.2118,,,,,,11.78,,,,,,0.05529,,,,,,,,,,,,,
3,,,,0.805,,,,,,32.71,,,,,,0.09667,,,,,,,,,,,,,
4,0.292,0.292,0.292,2.031,,0.09942,2.016,0.9463,0.9749,,75.27,,,,,0.1524,1.56,0.7916,,,,,,,1.849,1.674,2.164,1.977,2.232
6,0.6047,0.605,0.6047,6.761,,0.2303,5.463,3.505,1.475,,297,,,,,0.33,4.986,2.708,,,,,,,2.945,2.557,3.166,2.963,3.69
8,1.048,1.048,1.048,14.38,,0.4639,10.03,8.387,2.179,,764.6,,,,,0.6349,11.01,6.306,,,,,,,4.041,3.525,4.16,4.047,9.104
10,1.573,1.573,1.573,24.32,,0.8558,15.36,15.28,3.13,13.69,1539,,,,,1.115,20,11.68,,,,,,9.335,5.163,4.571,5.226,5.203,18.02
12,2.268,2.268,2.268,35.98,0.5348,1.47,21.2,23.56,4.334,21.43,,,,,,1.814,31.89,18.7,,,,,,13.41,6.394,5.74,6.35,6.494,29.27
14,3.235,3.235,3.235,48.91,0.7169,2.375,27.41,32.62,5.814,29.51,,,,,,2.77,46.34,27.1,,,,,,17.57,7.806,7.004,7.524,7.958,41.5
16,4.581,4.581,4.581,62.76,0.9528,3.64,33.85,42.06,7.621,37.5,,,,,,4.009,62.87,36.61,,,,,,21.52,9.456,8.399,8.78,9.615,53.77
