Bradley and Radebaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Conductivity (in W m-1 K-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group,Metals,Metals,Metals,Marvel,Metals,Metals,Metals,Metals,Metals,Marvel,Metals,Marvel,Marvel,Metals,Marvel,Fibres,Fibres,Metals,Metals,Metals,Metals,Metals,Metals,Metals,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Metals,Metals,Metals,Metals,Metals,Plastics,Plastics,Metals,Metals,
Temp,Al_1100,Al_3003,Al_5083,Al_6061,Al_6063,Be,Be-Cu,Brass,Cu_RRR=50,Cu_RRR=100,Cu_RRR=300,G10_norm-dir,G10_warp-dir,Inconel_718,Invar(Fe-36Ni),Kevlar_Composite,Kevlar_Fiber,Pb,Mo,Fe-2.25 Ni,Fe-3.5 Ni,Fe-5.0 Ni,Fe-9.0 Ni,Platinum,Polyamide(Nylon),Polyethylene Terephthalate (Mylar),Polyimide(Kapton),Polystyrene(12.66 kg m-3),Polystyrene(32.04 kg m-3),Polystyrene(49.98 kg m-3),Polystyrene(99.96 kg m-3),Polyurethane(31.88 kg m-3),Polyurethane(32.04 kg m-3),Polyurethane(49.02 kg m-3),Polyurethane(64.08 kg m-3),PVC(20.02 kg m-3),PVC(56.06 kg m-3),SS_304,SS_304L,SS_310,SS_316,SS_735,Teflon,Torlon4203,Ti-6Al-4V,Ti 15-3-3-3
1,,,,,,181.4,0.3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4028,,0.00433,,
2,,,,,,355,0.8999,,,,,,,,,,,,,,,,,,,0.03092,,,,,,,,,,,,,,,,0.5637,,0.008974,,0.05608
3,,,,,,551.1,1.402,,,,,,,,,,,,,,,,,,,0.0361,,,,,,,,,,,,,,,,0.7972,,0.01145,,0.08043
4,54.11,10.81,3.295,5.347,34.36,741.4,1.879,,320.4,642.3,,0.07229,0.07322,0.4624,0.2419,0.03089,0.05042,2682,56.74,1.119,0.9289,0.7754,0.6256,921.7,0.01245,0.03764,0.01079,,,,0.009431,,,,,,,0.2724,0.2724,0.2409,0.2724,1.052,0.04599,0.0128,,0.101
6,83.26,16.77,4.982,8.268,51.64,1082,2.85,3.143,466.8,931.7,2810,0.09112,0.09693,0.8644,0.4001,0.06021,0.09448,700.1,90.04,1.787,1.455,1.223,0.9814,1210,0.01983,0.03978,0.01309,,,0.004852,0.00895,,,,,,,0.4653,0.4653,0.396,0.4653,1.315,0.06624,0.0141,,0.145
8,113.5,22.81,6.685,11.23,69.7,1410,3.877,4.4,622.3,1239,3636,0.1023,0.1179,1.199,0.563,0.09263,0.1405,313.3,118.4,2.46,1.999,1.679,1.349,1329,0.0288,0.04334,0.01802,,,0.004842,0.009014,,,,,,,0.677,0.677,0.5654,0.677,1.583,0.08244,0.01467,,0.1904
10,141.8,28.94,8.427,14.2,86.51,1754,4.955,5.702,778.1,1540,4320,0.1122,0.1361,1.519,0.7339,0.1261,0.1865,177.1,146.3,3.137,2.535,2.138,1.716,1240,0.03902,0.04791,0.02345,,,0.004862,0.009055,,,,,,,0.9039,0.9039,0.7457,0.9039,1.854,0.09545,0.01477,,0.2354
12,170.1,35.15,10.19,17.15,103.5,2120,6.069,7.028,927.3,1814,4829,0.1217,0.1518,1.832,0.9114,0.1595,0.232,118.3,175.4,3.809,3.064,2.599,2.08,1053,0.05014,0.05295,0.02883,,,0.004902,0.009098,,,,,,,1.143,1.143,0.9348,1.143,2.126,0.1066,0.01871,,0.2796
14,199.1,41.35,11.97,20.05,121.1,2502,7.207,8.362,1064,2045,5147,0.1309,0.1654,2.136,1.094,0.192,0.277,89.02,205.3,4.47,3.588,3.061,2.443,856,0.06185,0.05816,0.03397,,,0.004956,0.009155,,,,,,,1.391,1.391,1.131,1.391,2.399,0.1166,0.03501,,0.3235
